operation_id,product_id,operation_type,duration,compatible_machines
OP1_1,P1,Etape_1,4.5,M1|M3
OP1_2,P1,Etape_2,3.0,M5|M3|M2
OP1_3,P1,Etape_3,3.0,M3|M6
OP1_4,P1,Etape_4,4.0,M6|M2|M1
OP1_5,P1,Etape_5,1.0,M3
OP1_6,P1,Etape_6,5.0,M6|M3|M4
OP2_1,P2,Etape_1,6.0,M2
OP2_2,P2,Etape_2,1.0,M3
OP2_3,P2,Etape_3,2.0,M1
OP2_4,P2,Etape_4,6.0,M2|M4
OP2_5,P2,Etape_5,4.0,M6|M2|M1
OP3_1,P3,Etape_1,6.0,M2
OP3_2,P3,Etape_2,3.0,M3|M6
OP3_3,P3,Etape_3,4.0,M6|M2|M1
OP3_4,P3,Etape_4,5.333,M3|M2|M6
OP3_5,P3,Etape_5,3.0,M1|M5
OP4_1,P4,Etape_1,4.0,M6|M2|M1
OP4_2,P4,Etape_2,6.0,M2
OP4_3,P4,Etape_3,1.0,M3
OP4_4,P4,Etape_4,3.0,M5|M3|M2
OP4_5,P4,Etape_5,3.0,M3|M6
OP5_1,P5,Etape_1,3.0,M5|M3|M2
OP5_2,P5,Etape_2,4.0,M6|M2|M1
OP5_3,P5,Etape_3,6.0,M2
OP5_4,P5,Etape_4,4.5,M1|M3
OP5_5,P5,Etape_5,6.0,M2|M4
OP5_6,P5,Etape_6,5.333,M3|M2|M6
OP6_1,P6,Etape_1,3.0,M3|M6
OP6_2,P6,Etape_2,2.0,M1
OP6_3,P6,Etape_3,5.333,M3|M2|M6
OP6_4,P6,Etape_4,6.0,M2
OP6_5,P6,Etape_5,4.0,M6|M2|M1
OP6_6,P6,Etape_6,2.5,M1|M4
OP7_1,P7,Etape_1,1.0,M6
OP7_2,P7,Etape_2,2.5,M1|M4
OP7_3,P7,Etape_3,5.333,M3|M2|M6
OP7_4,P7,Etape_4,4.333,M2|M5|M1
OP7_5,P7,Etape_5,1.0,M3
OP8_1,P8,Etape_1,3.0,M3|M6
OP8_2,P8,Etape_2,5.333,M3|M2|M6
OP8_3,P8,Etape_3,4.0,M6|M2|M1
OP8_4,P8,Etape_4,6.0,M2
OP8_5,P8,Etape_5,6.0,M2|M4
OP9_1,P9,Etape_1,1.0,M6
OP9_2,P9,Etape_2,3.0,M1|M5
OP9_3,P9,Etape_3,5.0,M6|M3|M4
OP9_4,P9,Etape_4,2.0,M1
OP9_5,P9,Etape_5,5.333,M3|M2|M6
OP9_6,P9,Etape_6,6.0,M2|M4
OP10_1,P10,Etape_1,3.0,M3|M6
OP10_2,P10,Etape_2,5.333,M3|M2|M6
OP10_3,P10,Etape_3,3.0,M5|M3|M2
OP10_4,P10,Etape_4,1.0,M6
OP10_5,P10,Etape_5,6.0,M2|M4
OP10_6,P10,Etape_6,2.5,M1|M4
